Brazil,Congo,Cuba,Egypt,France,India,Israel,Japan,China,UdSSR,USA,Yugoslavia
0,4.83,5.28,3.44,4.72,4.5,3.83,3.5,2.39,3.06,5.39,3.17
4.83,0,4.56,5,4,4.83,3.33,3.39,4,3.39,2.39,3.5
5.28,4.56,0,5.17,4.11,4,3.61,2.94,5.5,5.44,3.17,5.11
3.44,5,5.17,0,4.78,5.83,4.67,3.83,4.39,4.39,3.33,4.28
4.72,4,4.11,4.78,0,3.44,4,4.22,3.67,5.06,5.94,4.72
4.5,4.83,4,5.83,3.44,0,4.11,4.5,4.11,4.5,4.28,4
3.83,3.33,3.61,4.67,4,4.11,0,4.83,3,4.17,5.94,4.44
3.5,3.39,2.94,3.83,4.22,4.5,4.83,0,4.17,4.61,6.06,4.28
2.39,4,5.5,4.39,3.67,4.11,3,4.17,0,5.72,2.56,5.06
3.06,3.39,5.44,4.39,5.06,4.5,4.17,4.61,5.72,0,5,6.67
5.39,2.39,3.17,3.33,5.94,4.28,5.94,6.06,2.56,5,0,3.56
3.17,3.5,5.11,4.28,4.72,4,4.44,4.28,5.06,6.67,3.56,0
