TS,TM,MM,DJ,TC,BAM,RM,TMd,TMJ,TMg,PC,PD,DG,TCf,BM
13,12,7,3,5,4,8,11,10,15,2,1,6,9,14
15,11,6,3,10,5,14,8,9,12,7,1,4,2,13
15,10,12,14,3,2,9,8,7,11,1,6,4,5,13
6,14,11,3,7,8,12,10,9,15,4,1,2,5,13
15,9,6,14,13,2,12,8,7,10,11,1,4,3,5
9,11,14,4,7,6,15,10,8,12,5,2,3,1,13
9,14,5,6,8,4,13,11,12,15,7,2,1,3,10
15,10,12,6,9,2,13,8,7,11,3,1,5,4,14
15,12,2,4,5,8,10,11,3,13,7,9,6,1,14
15,13,10,7,6,4,9,12,11,14,5,2,8,1,3
9,2,4,15,8,5,1,10,6,7,11,13,14,12,3
11,1,2,15,12,3,4,8,7,14,10,9,13,5,6
12,1,14,4,5,6,11,13,2,15,10,3,9,8,7
13,11,14,5,4,12,10,8,7,15,3,2,6,1,9
12,11,8,1,4,7,14,10,9,13,5,2,6,3,15
15,12,4,14,5,3,11,9,7,13,6,8,1,2,10
7,10,8,3,13,6,15,12,11,9,5,1,4,2,14
7,12,6,4,10,1,15,9,8,13,5,3,14,2,11
2,9,8,5,15,12,7,10,6,11,1,3,4,13,14
10,11,15,6,9,4,14,2,13,12,8,1,3,7,5
12,1,2,10,3,15,5,6,4,13,7,11,8,9,14
14,12,10,1,11,5,15,8,7,13,2,6,4,3,9
14,6,1,13,2,5,15,8,4,12,7,10,9,3,11
10,11,9,15,5,6,12,1,3,13,8,2,14,4,7
15,8,7,5,9,10,13,3,11,6,2,1,12,4,14
15,13,8,5,10,7,14,12,11,6,4,1,3,2,9
11,3,6,14,1,7,9,4,2,5,10,15,13,12,8
6,15,3,11,8,2,13,9,10,14,5,7,12,1,4
15,7,10,2,12,9,13,8,5,6,11,1,3,4,14
15,10,7,2,9,6,14,12,8,11,5,3,1,4,13
11,4,9,10,15,8,6,5,1,13,14,2,12,3,7
9,3,10,13,14,11,1,2,4,5,15,6,7,8,12
15,8,1,11,10,2,4,13,14,9,6,5,12,3,7
15,8,3,11,10,2,4,13,14,9,6,5,12,1,7
15,6,10,14,12,8,2,4,3,5,11,1,13,7,9
12,2,13,11,9,15,3,1,4,5,6,8,10,7,14
5,1,6,11,12,10,7,4,3,2,13,9,8,14,15
15,11,7,13,4,6,9,14,8,12,1,10,3,2,5
6,1,12,5,15,9,2,7,11,3,8,10,4,14,13
14,1,5,15,4,6,3,8,9,2,12,11,13,10,7
10,3,2,14,9,1,8,12,13,4,11,5,15,6,7
13,3,1,14,4,10,5,15,6,2,11,7,12,8,9
