Estados,Municipio,Aeropuerto
Aguascalientes,Aguascalientes,Aeropuerto Internacional Lic. Jesús Terán Peredo
Baja California,Mexicali,Aeropuerto Internacional General  Rodolfo Sánchez Taboada
Baja California,Tijuana,Aeropuerto Internacional General Abelardo L. Rodríguez
Baja California,San Felipe,Aeropuerto Internacional San Felipe
Baja California,Ensenada 1/,El Ciprés (SEDENA)
Baja California Sur,La Paz,Aeropuerto Internacional General Manuel Márquez de León
Baja California Sur,Loreto,Aeropuerto Internacional de Loreto
Baja California Sur,San José del Cabo,Aeropuerto Internacional de Los Cabos
Baja California Sur,Cabo San Lucas,Aeropuerto Nacional de Cabo San Lucas
Campeche,Carmen,Aeropuerto Internacional Ciudad del Carmen
Campeche,Campeche,Aeropuerto Internacional Ing. Alberto Acuña Ongay
Coahuila,Acuña ,Aeropuerto Internacional de Ciudad Acuña
Coahuila,Monclova ,Aeropuerto Internacional Venustiano Carranza
Coahuila,Piedras Negras ,Aeropuerto Internacional de Piedras Negras
Coahuila,Saltillo ,Aeropuerto Internacional de Plan de Guadalupe
Coahuila,Torreón,Aeropuerto Internacional de Torreón Francisco Sarabia
Colima,Colima,Aeropuerto Nacional Lic. Miguel de la Madrid 
Colima,Manzanillo,Aeropuerto Internacional Playa de Oro
Chiapas,Tapachula,Aeropuerto Internacional de Tapachula
Chiapas,Tuxtla Gutiérrez ,Aeropuerto Nacional Ángel Albino Corzo
Chiapas,Palenque,Aeropuerto Nacional de Palenque
Chihuahua,Ciudad Juárez,Aeropuerto Internacional Abraham González
Chihuahua,Chihuahua,Aeropuerto Internacional General Roberto Fierro Villalobos
Ciudad de México,México,Aeropuerto Internacional de la Ciudad de México
Durango,Durango, Aeropuerto Internacional General Guadalupe Victoria
Guanajuato,Silao,Aeropuerto Internacional de Guanajuato (El Bajío)
Guanajuato,Celaya,Aeropuerto Nacional Capitán Rogelio Castillo
Guerrero,Acapulco,Aeropuerto Internacional General Juan N. Álvarez
Guerrero,Zihuatanejo,Aeropuerto Internacional de Ixtapa-Zihuatanejo
Hidalgo,Pachuca,Aeropuerto Ingeniero Juan Guillermo Villasana
Jalisco,Tlajomulco de Zúñiga,Aeropuerto Internacional Miguel Hidalgo y Costilla
Jalisco,Puerto Vallarta,Aeropuerto Internacional Lic. Gustavo Díaz Ordaz
México,Toluca de Lerdo, Aeropuerto Internacional Licenciado Adolfo López Mateos
México,Atizapán (Edo. Méx.), Aeropuerto Nacional Jorge Jiménez Cantú
Michoacán,Uruapan,Aeropuerto Nacional General y Licenciado Ignacio López Rayón 
Michoacán,Morelia,Aeropuerto Internacional General Francisco J. Mujica
Michoacán,Lázaro Cárdenas,Aeropuerto Nacional General Lázaro Cárdenas del Río
Michoacán,Zamora,Aeropuerto Nacional de Zamora 
Morelos,Cuernavaca,Aeropuerto Nacional General Mariano Matamoros
Nayarit,Tepic,Aeropuerto Internacional de Tepic
Nuevo León,Apodaca,Aeropuerto Internacional del Norte
Nuevo León,Apodaca,Aeropuerto Internacional General Mariano Escobedo
Oaxaca, Huatulco,Aeropuerto Internacional de Bahías de Huatulco
Oaxaca,Oaxaca,Aeropuerto Internacional Xoxocotlán
Oaxaca,Puerto Escondido,Aeropuerto Nacional de Puerto Escondido
Puebla,Huejotzingo,Aeropuerto Internacional Hermanos Serdán
Puebla,Tehuacán,Aeropuerto Nacional de Tehuacán
Querétaro,Colón,Aeropuerto Internacional de Querétaro
Quintana Roo,Chetumal,Aeropuerto Internacional de Chetumal 
Quintana Roo,Cancún,Aeropuerto Internacional de Cancún
Quintana Roo,   Cozumel,Aeropuerto Internacional de Cozumel
Quintana Roo,Playa del Carmen,Aeropuerto Nacional de Playa del Carmen
San Luis Potosí,Tamuín,Aeropuerto Nacional de Tamuín
San Luis Potosí,San Luis Potosí,Aeropuerto Internacional Ponciano Arriaga
Sinaloa,Culiacán,Aeropuerto Internacional Federal de Culiacán
Sinaloa,Los Mochis,Aeropuerto Internacional Federal del Valle del Fuerte
Sinaloa,Mazatlán,Aeropuerto Internacional General Rafael Buelna
Sonora,Obregón,Aeropuerto Internacional de Ciudad Obregón
Sonora,Hermosillo,Aeropuerto Internacional General Ignacio Pesqueira García 
Sonora,Nogales,Aeropuerto Internacional de Nogales
Sonora,Guaymas,Aeropuerto Internacional de Guaymas
Sonora,Puerto Peñasco,Aeropuerto Internacional de Puerto Peñasco
Tabasco,,
Tabasco,Villahermosa,Aeropuerto Internacional Carlos Rovirosa Pérez
Tamaulipas,Ciudad Victoria,Aeropuerto Internacional General Pedro J. Méndez
Tamaulipas,Matamoros,Aeropuerto Internacional General Servando Canales
Tamaulipas,Nuevo Laredo,Aeropuerto Internacional Quetzalcóatl
Tamaulipas,Reynosa,Aeropuerto Internacional General Lucio Blanco
Tamaulipas,Tampico,Aeropuerto Internacional General Francisco Javier Mina 
Veracruz,Emiliano Zapata,Aeropuerto Nacional El Lencero
Veracruz,Cosoleacaque,Aeropuerto Nacional Minatitlán
Veracruz,Veracruz,Aeropuerto Internacional General Heriberto Jara
Veracruz,Poza Rica,Aeropuerto Nacional El Tajín
Veracruz,Cordoba,Aeropuerto Nacional Ingeniero Juan Antonio Perdomo Díaz
Yucatán,Kaua,Aeropuerto Internacional de Kaua
Yucatán,Mérida,Aeropuerto Internacional Manuel Crescencio Rejón
Zacatecas,Zacatecas,Aeropuerto Internacional General Leobardo C. Ruiz
