aeropuerto,ciudad
"Aeropuerto Internacional de la Ciudad de México,",Ciudad de México
" Aeropuerto Internacional General Mariano Escobedo,",Monterrey
" Aeropuerto Internacional Miguel Hidalgo y Costilla,",Guadalajara
" Aeropuerto Internacional Hermanos Serdán,",Puebla de Zaragoza
" Aeropuerto Internacional Licenciado Adolfo López Mateos,",Toluca de Lerdo
"	Aeropuerto Internacional General Abelardo L. Rodríguez,",Tijuana
" Aeropuerto Internacional de Guanajuato (El Bajío),",León
" Aeropuerto Internacional de Querétaro,",Santiago de Querétaro
"  Aeropuerto Internacional Abraham González,",Ciudad Juárez
" Aeropuerto Internacional de Torreón Francisco Sarabia,",Torreón
" Aeropuerto Internacional Manuel Crescencio Rejón,",Mérida
 Aeropuerto Internacional Ponciano Arriaga.,San Luis Potosí
" Aeropuerto Internacional Lic. Jesús Terán Peredo,",Aguascalientes
" Aeropuerto Internacional General Rodolfo Sánchez Taboada,",Mexicali
" Aeropuerto Internacional de Plan de Guadalupe,",Saltillo
" Aeropuerto Nacional General Mariano Matamoros,",Cuernavaca
" Aeropuerto Internacional Federal de Culiacán,",Culiacán
" Aeropuerto Internacional General Francisco J. Mujica,",Morelia
" Aeropuerto Internacional General Roberto Fierro Villalobos,",Chihuahua
" Aeropuerto Internacional General Heriberto Jara ,",Veracruz
" Aeropuerto Internacional General Ignacio Pesqueira García,",Hermosillo
" Aeropuerto Internacional de Cancún,",Cancún
" Aeropuerto Internacional General Francisco Javier Mina,",Tampico
" Aeropuerto Internacional General Juan N. Álvarez,",Acapulco
" Aeropuerto Nacional Ángel Albino Corzo,",Tuxtla Gutiérrez
" Aeropuerto Internacional General Lucio Blanco,",Reynosa
" Aeropuerto Internacional Carlos Rovirosa Pérez ,",Villahermosa
" Aeropuerto Nacional Capitán Rogelio Castillo,",Celaya
" Aeropuerto Internacional Xoxocotlán,",Oaxaca de Juárez
" Aeropuerto Internacional General Guadalupe Victoria,",Durango
" Aeropuerto Ingeniero Juan Guillermo Villasana,",Pachuca de Soto
" Aeropuerto Internacional General Servando Canales,",Heroica Matamoros
" Aeropuerto Internacional General Rafael Buelna,",Mazatlán
" Aeropuerto Internacional de Tepic,",Tepic
 Aeropuerto Internacional Lic. Gustavo Díaz Ordaz,Puerto Vallarta
