ciudad,centro_turistico
Ciudad de México, Ciudad de México
Monterrey, Monterrey
Guadalajara, Guadalajara
Puebla de Zaragoza, Puebla
Toluca de Lerdo, Toluca
Tijuana, Tijuana
León, León
Santiago de Querétaro, Querétaro
Ciudad Juárez, Ciudad Juárez
Mérida, Mérida
San Luis Potosí, San Luis Potosí
Aguascalientes, Aguascalientes
Mexicali, Mexicali
Saltillo, Saltillo
Cuernavaca, Cuernavaca
Culiacán, Culiacán
Morelia, Morelia
Chihuahua, Chihuahua
Veracruz, Veracruz-Boca del Río
Hermosillo, Hermosillo
Cancún, Cancún
Tampico, Tampico
Salamanca, Salamanca
Acapulco, Acapulco
Tuxtla Gutiérrez, Tuxtla Gutiérrez
Reynosa, Reynosa
Villahermosa, Villahermosa
Xalapa-Enríquez, Xalapa
Celaya, Celaya
Oaxaca de Juárez, Oaxaca
Durango, Durango
Pachuca de Soto, Pachuca
Tlaxcala de Xicohténcatl, Tlaxcala
Heroica Matamoros, Matamoros
Mazatlán, Mazatlán
Tepic, Tepic
Cuautla de Morelos, Municipios de Morelos
Puerto Vallarta, Puerto Vallarta
