ciudad,museo_internacionales,museo_nacionales,zona_arqueologica_internacionales,zona_arqueologica_nacionales,vuelos_internacionales,vuelos_nacionales,cuartos_disponibles_promedio_E1,cuartos_disponibles_promedio_E2,cuartos_disponibles_promedio_E3,cuartos_disponibles_promedio_E4,cuartos_disponibles_promedio_E5,cuartos_disponibles_x_E1,cuartos_disponibles_x_E2,cuartos_disponibles_x_E3,cuartos_disponibles_x_E4,cuartos_disponibles_x_E5,cuartos_disponibles_y_E1,cuartos_disponibles_y_E2,cuartos_disponibles_y_E3,cuartos_disponibles_y_E4,cuartos_disponibles_y_E5,cuartos_ocupados_total_x_E1,cuartos_ocupados_total_x_E2,cuartos_ocupados_total_x_E3,cuartos_ocupados_total_x_E4,cuartos_ocupados_total_x_E5,porcentaje_de_ocupación_total_E1,porcentaje_de_ocupación_total_E2,porcentaje_de_ocupación_total_E3,porcentaje_de_ocupación_total_E4,porcentaje_de_ocupación_total_E5,llegada_de_turistas_total_E1,llegada_de_turistas_total_E2,llegada_de_turistas_total_E3,llegada_de_turistas_total_E4,llegada_de_turistas_total_E5,llegada_de_turistas_nacionales_E1,llegada_de_turistas_nacionales_E2,llegada_de_turistas_nacionales_E3,llegada_de_turistas_nacionales_E4,llegada_de_turistas_nacionales_E5,llegada_de_turistas_extranjeros_E1,llegada_de_turistas_extranjeros_E2,llegada_de_turistas_extranjeros_E3,llegada_de_turistas_extranjeros_E4,llegada_de_turistas_extranjeros_E5,turistas_noche_total_x_E1,turistas_noche_total_x_E2,turistas_noche_total_x_E3,turistas_noche_total_x_E4,turistas_noche_total_x_E5,turistas_noche_nacionales_x_E1,turistas_noche_nacionales_x_E2,turistas_noche_nacionales_x_E3,turistas_noche_nacionales_x_E4,turistas_noche_nacionales_x_E5,turistas_noche_extranjeros_x_E1,turistas_noche_extranjeros_x_E2,turistas_noche_extranjeros_x_E3,turistas_noche_extranjeros_x_E4,turistas_noche_extranjeros_x_E5,estadía_total_E1,estadía_total_E2,estadía_total_E3,estadía_total_E4,estadía_total_E5,estadía_nacionales_E1,estadía_nacionales_E2,estadía_nacionales_E3,estadía_nacionales_E4,estadía_nacionales_E5,estadía_extranjeros_E1,estadía_extranjeros_E2,estadía_extranjeros_E3,estadía_extranjeros_E4,estadía_extranjeros_E5,turistas_noche_total_y_E1,turistas_noche_total_y_E2,turistas_noche_total_y_E3,turistas_noche_total_y_E4,turistas_noche_total_y_E5,turistas_noche_nacionales_y_E1,turistas_noche_nacionales_y_E2,turistas_noche_nacionales_y_E3,turistas_noche_nacionales_y_E4,turistas_noche_nacionales_y_E5,turistas_noche_extranjeros_y_E1,turistas_noche_extranjeros_y_E2,turistas_noche_extranjeros_y_E3,turistas_noche_extranjeros_y_E4,turistas_noche_extranjeros_y_E5,cuartos_ocupados_total_y_E1,cuartos_ocupados_total_y_E2,cuartos_ocupados_total_y_E3,cuartos_ocupados_total_y_E4,cuartos_ocupados_total_y_E5,densidad_total_E1,densidad_total_E2,densidad_total_E3,densidad_total_E4,densidad_total_E5
Acapulco,6756.0,58397.0,37.0,2618.0,189.0,5703.0,12604.361643835615,54116.28767123288,85538.71780821918,147466.65479452055,142248.43561643836,4600592.0,19752445.0,31221632.0,53825329.0,51920679.0,4600592.0,19752445.0,31221632.0,53825329.0,51920679.0,907081.142857143,4704680.977267527,9204710.403254788,23979070.09365488,27819795.211927235,0.1971661783651197,0.2381822086970766,0.2948183619374794,0.4454978824867913,0.535813393579218,1569756.9957142856,8088803.657991944,14661785.900990803,37388405.78962368,36405622.24936792,1526979.4271428569,7993564.175812882,14418089.083072605,36100445.67827317,32673275.541381724,42777.56857142857,95239.4821790618,243696.81791819198,1287960.111350515,3732346.707986199,2020901.71,11285874.635319648,21769059.96623984,60189090.1487141,63927718.99755264,1914589.0014285715,10990676.70732059,20246715.444579054,54550195.19416021,52940483.88893762,106312.70857142858,295197.92799905885,1522344.5216607838,5638894.954553895,10987235.108615018,1.2873978045757524,1.395246455780753,1.4847481823321909,1.6098330184866625,1.7559847915705535,1.2538407311819346,1.3749406979900711,1.404257896308151,1.5110670843321723,1.6202992510465273,2.48524430260479,3.09953310586098,6.246878948463858,4.378159622227062,2.943787372460696,2020901.71,11285874.635319648,21769059.96623984,60189090.1487141,63927718.99755264,1914589.0014285715,10990676.70732059,20246715.444579054,54550195.19416021,52940483.88893762,106312.70857142858,295197.92799905885,1522344.5216607838,5638894.954553895,10987235.108615018,907081.142857143,4704680.977267527,9204710.403254788,23979070.09365488,27819795.211927235,2.2279172331094017,2.398860770762499,2.3649912938643123,2.5100677346383327,2.2979219836292972
Aguascalientes,440.0,28751.0,0.0,0.0,1680.0,3872.0,8271.753424657534,15731.898630136984,25074.534246575342,29830.178082191782,14542.0,3019190.0,5742143.0,9152205.0,10888015.0,5307830.0,3019190.0,5742143.0,9152205.0,10888015.0,5307830.0,724093.0,2097930.0,4550841.0,5748830.0,2958887.0,0.2398302193634716,0.3653566273079579,0.4972398454798598,0.527996149895091,0.5574570022024067,604999.0,2051196.0,3861655.0,4154491.0,1940136.0,604555.0,2041481.0,3621306.0,3806577.0,1663719.0,444.0,9715.0,240349.0,347914.0,276417.0,1182012.0,3501392.0,7292177.0,8830205.0,3980756.0,1181499.0,3486768.0,6805689.0,7785596.0,3193155.0,513.0,14624.0,486488.0,1044609.0,787601.0,1.9537420723009462,1.7070002086587532,1.8883553813067195,2.125460134586884,2.0517922454920687,1.9543283903036117,1.7079600544898532,1.8793465672329264,2.045301067074172,1.919287451787231,1.1554054054054057,1.5053010808028822,2.0240899691698324,3.002491995148226,2.8493218579175665,1182012.0,3501392.0,7292177.0,8830205.0,3980756.0,1181499.0,3486768.0,6805689.0,7785596.0,3193155.0,513.0,14624.0,486488.0,1044609.0,787601.0,724093.0,2097930.0,4550841.0,5748830.0,2958887.0,1.6324035724692822,1.6689746559704088,1.6023800875486531,1.5360003687706891,1.3453558719883525
Cancún,46738.0,42129.0,13786.0,23527.0,49529.0,31075.0,7896.205214317278,12149.686522315511,61273.98471056121,114385.1301369863,475935.27964648686,2882114.903225806,4434635.580645162,22365004.41935484,41750572.5,173716377.07096773,2882114.903225806,4434635.580645162,22365004.41935484,41750572.5,173716377.07096773,1375189.0,2437659.0,13904840.76,30949229.7184,126283877.0,0.47714579264720497,0.5496864298476052,0.6217231393867576,0.7412887504333024,0.7269543558832665,1221342.0,1816457.0,9191004.0,18745742.0,76714719.0,943340.0,1368429.0,4831992.0,6965981.0,20164064.0,278002.0,448028.0,4359012.0,11779761.0,56550655.0,2734664.0,4707213.0,29859936.2,69833965.0,316222645.0,2033885.0,3539788.0,13403246.6,21799467.0,71690906.0,700779.0,1167425.0,16456689.6,48034498.0,244531739.0,2.2390648974652474,2.591425505806083,3.24882202205548,3.725324129607673,4.122059614140019,2.1560466003773824,2.5867531307798943,2.77385529611804,3.1294180963169436,3.555379808356093,2.5207696347508293,2.6056965189675645,3.7753256013059837,4.077714140380268,4.324118597742149,2734664.0,4707213.0,29859936.2,69833965.0,316222645.0,2033885.0,3539788.0,13403246.6,21799467.0,71690906.0,700779.0,1167425.0,16456689.6,48034498.0,244531739.0,1375189.0,2437659.0,13904840.76,30949229.7184,126283877.0,1.9885732070282705,1.9310383445756767,2.14744898667937,2.2564039762993566,2.5040619001584816
Celaya,0.0,0.0,0.0,0.0,0.0,0.0,1578.2191780821918,5119.342465753424,5308.219178082191,13438.534246575342,1932.8383561643839,576050.0,1868560.0,1937500.0,4905065.0,705486.0,576050.0,1868560.0,1937500.0,4905065.0,705486.0,217513.0,750676.0,798129.0,2202052.0,417798.0,0.377593958857738,0.4017403776169885,0.4119375483870968,0.4489343158551416,0.5922130276150058,376319.0,981199.0,1074006.0,2660263.0,189720.0,376129.0,978839.0,1048160.0,2584812.0,142842.0,190.0,2360.0,25846.0,75451.0,46878.0,445698.0,1274000.0,1256094.0,3456810.0,504136.0,444967.0,1270934.0,1227897.0,3298635.0,339048.0,731.0,3066.0,28197.0,158175.0,165088.0,1.18436220334344,1.2984114333585746,1.1695409522851827,1.2994241546794434,2.657263335441704,1.1830169968282158,1.2984096465302262,1.1714785910548011,1.2761605099326372,2.3735876002856298,3.8473684210526318,1.2991525423728814,1.0909618509633985,2.0963936859683767,3.5216519476086865,445698.0,1274000.0,1256094.0,3456810.0,504136.0,444967.0,1270934.0,1227897.0,3298635.0,339048.0,731.0,3066.0,28197.0,158175.0,165088.0,217513.0,750676.0,798129.0,2202052.0,417798.0,2.0490637341216393,1.6971369805348782,1.5737982205884011,1.5698130652682134,1.2066501036386004
Chihuahua,0.0,0.0,0.0,0.0,0.0,1335.0,2770.495890410959,4909.983561643836,16587.720547945206,16607.67671232877,31760.504109589037,1011231.0,1792144.0,6054518.0,6061802.0,11592584.0,1011231.0,1792144.0,6054518.0,6061802.0,11592584.0,627836.0,1234439.0,1907950.0,3326996.0,5955792.0,0.6208630866735692,0.6888056986492157,0.3151283058370625,0.5488460362116744,0.5137587961407051,706652.0,1134485.0,1811307.0,3339247.0,4462190.0,677698.0,1101935.0,1666749.0,3115310.0,3224023.0,28954.0,32550.0,144558.0,223937.0,1238167.0,1028912.0,1846442.0,3136154.0,5575630.0,8636628.0,996744.0,1802551.0,2910973.0,5235621.0,6290271.0,32168.0,43891.0,225181.0,340009.0,2346357.0,1.4560377668215756,1.6275596415994922,1.7314315022246367,1.6697267377944789,1.93551327935386,1.4707790195632864,1.6358051972212515,1.7464975230223627,1.6806099553495482,1.951062694031649,1.1110036609794849,1.3484178187403997,1.5577207764357557,1.5183243501520516,1.8950246614551995,1028912.0,1846442.0,3136154.0,5575630.0,8636628.0,996744.0,1802551.0,2910973.0,5235621.0,6290271.0,32168.0,43891.0,225181.0,340009.0,2346357.0,627836.0,1234439.0,1907950.0,3326996.0,5955792.0,1.6388228773119096,1.4957741937835731,1.6437296574857831,1.6758751738805815,1.4501225025991504
Ciudad Juárez,8790.0,92409.0,0.0,0.0,1.0,2030.0,6921.3068493150695,6056.117808219178,42603.86849315069,29363.654794520553,15543.967123287672,2526277.0,2210483.0,15550412.0,10717734.0,5673548.0,2526277.0,2210483.0,15550412.0,10717734.0,5673548.0,1220539.2133958829,854640.0,7291681.12343305,6251347.860013926,3289967.190226876,0.4831375234765955,0.3866304332582517,0.4689059764740027,0.5832714135295695,0.579878268453334,1922865.376153173,1322363.0,8871656.428781385,6402106.506492727,3262904.1465968583,1818263.513097349,1207318.0,7982052.521632332,5468002.595184847,2737792.623036649,104601.86305582368,115045.0,889603.9071490519,934103.9113078802,525111.5235602094,2730310.8170299204,1903548.0,13107705.465039827,9816230.615325714,4960049.84816754,2582662.163026644,1749715.0,11814675.594822073,8137993.462006394,4092870.5410122164,147648.65400327713,153833.0,1293029.8702177536,1678237.1533193204,867179.307155323,1.4199178220641209,1.4395048863284892,1.4774811863223054,1.5332813669017435,1.5201334839519478,1.4204003679462105,1.4492577763273635,1.4801550807643606,1.4882936356271586,1.4949527245319878,1.4115298684926898,1.3371550262940588,1.4534894235813067,1.7966279051005647,1.651419304752492,2730310.8170299204,1903548.0,13107705.465039827,9816230.615325714,4960049.84816754,2582662.163026644,1749715.0,11814675.594822073,8137993.462006394,4092870.5410122164,147648.65400327713,153833.0,1293029.8702177536,1678237.1533193204,867179.307155323,1220539.2133958829,854640.0,7291681.12343305,6251347.860013926,3289967.190226876,2.236970993691737,2.2273097444538053,1.7976246140161012,1.5702582603208144,1.5076289705568444
Ciudad de México,677320.0,7299108.0,54362.0,197499.0,1393.0,8717.0,145754.5743419249,170188.97155529898,252336.0442455564,254306.84211268372,364114.7869226182,53200419.63480259,62118974.61768413,92102656.14962807,92821997.37112956,132901897.22675563,53200419.63480259,62118974.61768413,92102656.14962807,92821997.37112956,132901897.22675563,29254576.99474118,35508650.670910195,50431596.42616914,57110960.21941978,84221479.09155971,0.5498937263194716,0.5716232582628873,0.547558545371797,0.6152739850132012,0.6337116388027328,42189008.27423263,41527487.09600999,49536615.84104377,51850373.82870626,72589627.96000735,39306360.76709962,37407585.69783658,41136916.47714886,37879727.41645186,44819885.32488182,2882647.507133011,4119901.398173416,8399699.363894913,13970646.4122544,27769742.63512553,56900240.5810885,72349652.31668769,103735159.72456166,120762139.38471828,161440938.27294388,51717910.50626466,65171964.41345871,84365377.21981663,87760793.91688319,96173850.94659951,5182330.074823838,7177687.903228976,19369782.50474503,33001345.46783508,65267087.32634439,1.3486982251687796,1.7422111804987863,2.0941107494592206,2.3290505056659776,2.2240221201008006,1.3157644080230853,1.7422125271567006,2.050843486693533,2.3168274932930766,2.145785297072335,1.7977675251657872,1.7421989532106883,2.3060090207518242,2.3621917335827667,2.350295002150616,56900240.5810885,72349652.31668769,103735159.72456166,120762139.38471828,161440938.27294388,51717910.50626466,65171964.41345871,84365377.21981663,87760793.91688319,96173850.94659951,5182330.074823838,7177687.903228976,19369782.50474503,33001345.46783508,65267087.32634439,29254576.99474118,35508650.670910195,50431596.42616914,57110960.21941978,84221479.09155971,1.9450030192306973,2.0375218700145883,2.05694776837826,2.1145177549239453,1.9168618268676643
Cuautla de Morelos,52.0,2973.0,0.0,0.0,0.0,0.0,5491.616438356165,3516.249315068493,4799.172602739726,5301.797260273973,7076.183561643836,2004440.0,1283431.0,1751698.0,1935156.0,2582807.0,2004440.0,1283431.0,1751698.0,1935156.0,2582807.0,797555.0,530015.0,972969.0227272,839831.5263158001,1135160.8221687,0.3978941749316517,0.4129672728802717,0.5554433599440086,0.433986472571617,0.4395066383855626,1702505.0,862585.0,1446135.0,1294546.0,1258321.0,1699565.0,853193.0,1436885.0,1236265.0,1154105.0,2940.0,9392.0,9250.0,58281.0,104216.0,2998162.0,1195953.0,2717498.0,1872332.0,2330027.0,2989862.0,1182746.0,2694000.0,1762417.0,2108679.0,8300.0,13207.0,23498.0,109915.0,221348.0,1.7610297767113754,1.3864755357443037,1.8791454463103376,1.4463232669986237,1.851695235158596,1.7591924992571628,1.3862584432830556,1.8748890829815887,1.4255980716108603,1.8271119178930861,2.82312925170068,1.4061967632027257,2.5403243243243243,1.885949108628884,2.1239349044292624,2998162.0,1195953.0,2717498.0,1872332.0,2330027.0,2989862.0,1182746.0,2694000.0,1762417.0,2108679.0,8300.0,13207.0,23498.0,109915.0,221348.0,797555.0,530015.0,972969.0227272,839831.5263158001,1135160.8221687,3.7591915291108453,2.2564512325122874,2.792995395046538,2.2294138066161993,2.052596385020172
Cuernavaca,10735.0,93162.0,0.0,0.0,1362.0,1568.0,7769.202739726026,13556.00821917808,14019.449315068494,24045.065753424657,21388.03561643836,2835759.0,4947943.0,5117099.0,8776449.0,7806633.0,2835759.0,4947943.0,5117099.0,8776449.0,7806633.0,1191795.45000001,1484106.45092996,1719128.45755127,3985055.56496845,3836719.38208496,0.4202738843463108,0.2999441284853039,0.3359576309841318,0.4540624078107729,0.4914691624526169,1973751.24166666,2074122.81596671,2433540.67457665,4665195.9936870895,3788630.48878646,1804126.24166666,1983059.94587974,1966061.7706263,4375810.1536900485,3539948.09794525,169625.0,91062.87008697,467478.90395035,289385.83999704,248682.39084121,2440354.76785714,2801687.54288836,3096149.0287412107,7351173.96197431,6329570.69830723,2243168.76785714,2630371.96929231,2421711.74616836,6938910.78156864,5825698.47722147,197186.0,171315.57359605,674437.28257285,412263.18040567,503872.22108576,1.2364044243977141,1.350781892625074,1.2722816023117554,1.575748151186331,1.6706751204799235,1.2433546589205922,1.326420804755554,1.2317577109476627,1.5857431053577975,1.6457016645534932,1.1624819454679443,1.8812889757640439,1.4427116964501154,1.4246142119804026,2.0261676726740783,2440354.76785714,2801687.54288836,3096149.0287412107,7351173.96197431,6329570.69830723,2243168.76785714,2630371.96929231,2421711.74616836,6938910.78156864,5825698.47722147,197186.0,171315.57359605,674437.28257285,412263.18040567,503872.22108576,1191795.45000001,1484106.45092996,1719128.45755127,3985055.56496845,3836719.38208496,2.0476288677365897,1.8877941950409198,1.8009992302444755,1.8446854359062141,1.6497351168976029
Culiacán,0.0,0.0,0.0,0.0,0.0,5.0,2173.5424657534245,2106.1753424657536,9674.693150684932,6609.9424657534255,10101.068493150686,793343.0,768754.0,3531263.0,2412629.0,3686890.0,793343.0,768754.0,3531263.0,2412629.0,3686890.0,247088.0,314840.0,1798099.0,1277560.0,1645078.0,0.3114516671855679,0.4095458365094686,0.5091943024351344,0.529530234445495,0.4461966589727385,451274.0,488725.0,2780754.0,1586591.0,1696099.0,451198.0,488725.0,2738239.0,1581904.0,1582466.0,76.0,0.0,42515.0,4687.0,113633.0,451731.0,568872.0,3056262.0,2170367.0,2934655.0,451638.0,568872.0,2995932.0,2161917.0,2678420.0,93.0,0.0,60330.0,8450.0,256235.0,1.0010126885218291,1.1639920200521765,1.0990767252335158,1.367943597310208,1.7302380344543566,1.000975181627578,1.1639920200521765,1.094109024084457,1.3666549929704963,1.6925608512283992,1.2236842105263157,0.0,1.4190285781488887,1.8028589716236398,2.2549347460684834,451731.0,568872.0,3056262.0,2170367.0,2934655.0,451638.0,568872.0,2995932.0,2161917.0,2678420.0,93.0,0.0,60330.0,8450.0,256235.0,247088.0,314840.0,1798099.0,1277560.0,1645078.0,1.828219096030564,1.8068606276203787,1.6997184248475752,1.6988376279783337,1.783900216281538
