Tipo Centro Turístico,Tipo Subcentro,Centro Turístico
Centro de Playa,Integralmente Planeados,Bahías de Huatulco
,,Cabo San Lucas
,,Cancún
,,Ixtapa Zihuatanejo
,,Loreto
,,Otros Los Cabos
,,San José del Cabo
,,Zona Corredor los Cabos
,Otros Centros de Playa,Akumal
,,Isla Mujeres
,,Nuevo Vallarta
,,Otros Riviera Maya
,,Otros Riviera Nayarit
,,Playa del Carmen
,,Playacar
,,Playas de Rosarito
,,Puerto Escondido
,,San Felipe
,,Tonalá Puerto Arista
,Tradicional,Acapulco
,,Cozumel
,,La Paz
,,Manzanillo
,,Mazatlán
,,Puerto Vallarta
,,Veracruz-Boca del Río
Ciudades,Del Interior,Aguascalientes
,,Campeche
,,Celaya
,,Chihuahua
,,Coatzacoalcos
,,Colima
,,Comitán de Domínguez
,,Culiacán
,,Durango
,,El Fuerte
,,Guanajuato
,,Hermosillo
,,Irapuato
,,León
,,Los Mochis
,,Mérida
,,Morelia
,,Oaxaca
,,Pachuca
,,Palenque
,,Puebla
,,Querétaro
,,Salamanca
,,San Cristóbal de las Casas
,,San Juan de los Lagos
,,San Juan del Río
,,San Luis Potosí
,,San Miguel de Allende
,,Taxco
,,Tequisquiapan
,,Tlaxcala
,,Toluca
,,Tuxtla Gutiérrez
,,Valle de Bravo
,,Villahermosa
,,Xalapa
,,Zacatecas
,Fronterizas,Ciudad Juárez
,,Mexicali
,,Piedras Negras
,,Tecate
,,Tijuana
,Grandes,Ciudad de México
,,Guadalajara
,,Monterrey
Otros,Otros,Atlixco
,,Barrancas del cobre
,,Chapala
,,Chetumal
,,Chichén Itzá
,,Chignahuapan
,,Costalegre
,,Cuautla
,,Cuernavaca
,,Cuetzalán
,,El Rosario
,,Ensenada
,,Escuinapa
,,Guaymas-San Carlos
,,Hidalgo del Parral
,,Huasca de Ocampo
,,Huichapan
,,Istmo de Tehuantepec
,,Ixtapan de la Sal
,,Izamal
,,Izúcar de Matamoros
,,Jerez
,,Linares
,,Matamoros
,,Municipios de Durango
,,Municipios de Morelos
,,Nuevo Casas Grandes
,,Nuevo Laredo
,,Pahuatlán
,,Real del Monte
,,Región Mixteca
,,Reynosa
,,Saltillo
,,San Andrés Cholula
,,San Martín Texmelucan
,,San Pedro Cholula
,,San Sebastián del Oeste
,,Santiago
,,Sombrerete
,,Tampico
,,Tapachula
,,Tehuacán
,,Tepic
,,Tequila
,,Teziutlán
,,Tlatlauquitepec
,,Tula de Allende
,,Tuxtepec
,,Uxmal
,,Valladolid
,,Xicotepec
,,Zacatlán
,,El Oro
,,Abasolo
,,Silao
,,Bustamante
,,Huauchinango
