"aeropuerto","ciudad"
"(1) Saltillo, Coah.","Saltillo"
"(3) Tuxtla Gutiérrez, Chis.","Tuxtla Gutiérrez"
"Acapulco, Gro.","Acapulco"
"Aguascalientes, Ags.","Aguascalientes"
"Cancún, Q. Roo.","Cancún"
"Chihuahua, Chih.","Chihuahua"
"Ciudad Juárez, Chih.","Ciudad Juárez"
"Cuernavaca, Mor.","Cuernavaca"
"Culiacán, Sin.","Culiacán"
"Distrito Federal","Ciudad de México"
"Durango, Dgo.","Durango"
"Guadalajara, Jal.","Guadalajara"
"Hermosillo,Son.","Hermosillo"
"León, Gto. (Bajío)","León"
"Matamoros, Tamps.","Heroica Matamoros"
"Mazatlán , Sin.","Mazatlán"
"Mexicali, B.C.","Mexicali"
"Monterrey, N.L.","Monterrey"
"Morelia, Mich.","Morelia"
"Mérida, Yuc.","Mérida"
"Oaxaca, Oax.","Oaxaca de Juárez"
"Puebla, Pue.","Puebla de Zaragoza"
"Puerto Vallarta, Jal.","Puerto Vallarta"
"Querétaro, Qro.","Santiago de Querétaro"
"Reynosa, Tamps.","Reynosa"
"San Luis Potosí, S.L.P.","San Luis Potosí"
"Tampico, Tamps.","Tampico"
"Tepic, Nay.","Tepic"
"Tijuana, B.C.","Tijuana"
"Toluca, Méx.","Toluca de Lerdo"
"Torreón, Coah.","Torreón"
"Veracruz, Ver.","Veracruz"
"Villahermosa, Tab.","Villahermosa"
