"museos","estado","ciudad"
"Museo Regional de Historia de Aguascalientes","Aguascalientes","Aguascalientes"
"Museo de la Revolución en la Frontera","Chihuahua","Ciudad Juárez"
"Museo Regional de la Laguna","Coahuila
","Torreón"
"Centro Comunitario Culhuacán, Ex Convento de San Juan Evangelista","Ciudad de México","Ciudad de México"
"Galería de Historia","Ciudad de México","Ciudad de México"
"Museo Casa Carranza","Ciudad de México","Ciudad de México"
"Museo de El Carmen","Ciudad de México","Ciudad de México"
"Museo del Templo Mayor","Ciudad de México","Ciudad de México"
"Museo Nacional de Antropología","Ciudad de México","Ciudad de México"
"Museo Nacional de Historia","Ciudad de México","Ciudad de México"
"Museo Nacional de las Culturas","Ciudad de México","Ciudad de México"
"Museo Nacional de las Intervenciones","Ciudad de México","Ciudad de México"
"Museo de los Murales Teotihuacanos ""Beatriz de la Fuente""","Estado de México","Toluca de Lerdo"
"Ex-Convento Agustino de Fray Juan de Sahagún","Guanajuato","Salamanca"
"Museo Regional de Guanajuato Alhóndiga de Granaditas","Guanajuato","Guanajuato"
"Museo Histórico de Acapulco, Fuerte de San Diego","Guerrero","Acapulco"
"Museo de la Fotografía","Hidalgo","Pachuca de Soto"
"Museo del Cuale","Jalisco","Puerto Vallarta"
"Museo Regional de Guadalajara","Jalisco","Guadalajara"
"Museo Regional Michoacano ""Dr. Nicolás León Calderón""","Michoacán","Morelia"
"Jardín Etnobotánico y Museo de Medicina Tradicional y Herbolaria","Morelos","Cuernavaca"
"Museo Histórico del Oriente de Morelos ""Casa de Morelos""","Morelos","Cuautla de Morelos"
"Museo Regional Cuauhnáhuac","Morelos","Cuernavaca"
"Museo Regional de Nayarit","Nayarit","Tepic"
"Museo Regional de Nuevo León ""Ex Obispado""","Nuevo León","Monterrey"
"Museo Casa de Juárez","Oaxaca","Oaxaca de Juárez"
"Museo de las Culturas de Oaxaca","Oaxaca","Oaxaca de Juárez"
"Casa del Dean","Puebla de Zaragoza","Puebla de Zaragoza"
"Fuerte de Guadalupe","Puebla de Zaragoza","Puebla de Zaragoza"
"Museo de Arte Religioso de Santa Mónica","Puebla de Zaragoza","Puebla de Zaragoza"
"Museo de la No Intervención Fuerte de Loreto","Puebla de Zaragoza","Puebla de Zaragoza"
"Museo Regional de Puebla","Puebla de Zaragoza","Puebla de Zaragoza"
"Museo de Teteles del Santo Nombre","Puebla de Zaragoza","Puebla de Zaragoza"
"Museo Regional de Querétaro","Querétaro","Santiago de Querétaro"
"Museo Maya de Cancún con Z. A","Quintana Roo","Cancún"
"Museo Regional Potosino","San Luis Potosí","San Luis Potosí"
"Museo Arqueológico de Mazatlán","Sinaloa","Mazatlán"
"Museo Regional de Sonora","Sonora","Hermosillo"
"Museo de la Cultura Huasteca","Tamaulipas","Tampico"
"Museo Regional de Tlaxcala","Tlaxcala","Tlaxcala de Xicohténcatl"
"Museo Baluarte de Santiago","Veracruz","Veracruz"
"Museo del Fuerte de San Juan de Ulúa","Veracruz","Veracruz"
"Museo Regional de Yucatán ""Palacio Cantón""","Yucatán","Mérida"
"Pinacoteca del Estado ""Juan Gamboa Guzmán""","Yucatán","Mérida"
